ownershg,value,rent,ftotinc,nfams,ncouples,nmothers,nfathers,momloc,momrule,poploc,poprule,sploc,sprule,famsize,nchild,nchlt5,famunit,nsibs,relateg,age,sex,raceg,marst,school,educrec,schltype,occscore,sei,inctot,incwage,incfarm,incss,poverty,migrat5g,movedin,binaryClass
Rented,999999.0,412.0,23000.0,2,0,1,1,0,0,1,1,0,0,7,0,0,1,1,Child,14.0,Female,White,Never_married_single,Yes_in_school,Grade_5-8,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,116.0,Same_house,0,P
Owned_or_being_bought_(loan),162500.0,0.0,38008.0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,25.0,Male,White,Never_married_single,No_not_in_school,4+_years_of_college,Not_enrolled,48.0,87.0,38008.0,38000.0,0,0.0,501.0,Moved_place_not_reported,2,P
Rented,999999.0,675.0,0.0,1,0,1,0,1,1,0,0,0,0,2,0,0,1,0,Child,5.0,Female,Black_Negro,Never_married_single,Yes_in_school,Grade_1-4,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,1.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),400000.0,0.0,104000.0,1,1,1,1,2,1,1,1,0,0,5,0,0,1,2,Child,10.0,Male,White,Never_married_single,Yes_in_school,Grade_1-4,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,501.0,Same_house,0,P
Owned_or_being_bought_(loan),85000.0,0.0,17000.0,1,1,0,0,0,0,0,0,1,1,2,0,0,1,0,Spouse,85.0,Female,White,Married_spouse_present,No_not_in_school,Grade_5-8,Not_enrolled,0.0,0.0,7000.0,0.0,0,7000.0,227.0,Same_house,0,P
Rented,999999.0,1000.0,14000.0,1,1,1,1,0,0,0,0,2,1,3,1,0,1,0,Parent,59.0,Female,White,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,0.0,0.0,0.0,0.0,0,0.0,144.0,Same_house,0,P
Rented,999999.0,1000.0,10000.0,1,1,0,0,0,0,0,0,1,2,2,0,0,1,0,Spouse,45.0,Male,Black_Negro,Married_spouse_present,No_not_in_school,4+_years_of_college,Not_enrolled,41.0,68.0,0.0,0.0,0,0.0,120.0,Moved_place_not_reported,0,P
Rented,999999.0,875.0,34000.0,1,1,1,1,2,1,1,1,0,0,6,0,0,1,3,Child,11.0,Female,White,Never_married_single,Yes_in_school,Grade_1-4,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,205.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),42499.0,0.0,31000.0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,Partner_friend_visitor,24.0,Female,White,Never_married_single,Yes_in_school,1_to_3_years_of_college,Public_school,25.0,44.0,16700.0,16700.0,0,0.0,259.0,Moved_place_not_reported,0,P
Rented,999999.0,137.0,7800.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,79.0,Female,White,Widowed,No_not_in_school,Grade_12,Not_enrolled,0.0,0.0,7800.0,0.0,0,5292.0,131.0,Same_house,2,P
Owned_or_being_bought_(loan),225000.0,0.0,63000.0,1,1,1,1,0,0,0,0,1,1,4,2,1,1,0,Spouse,28.0,Female,White,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,24.0,44.0,20000.0,20000.0,0,0.0,501.0,Moved_place_not_reported,0,P
Rented,999999.0,575.0,45500.0,1,1,1,1,0,0,0,0,2,1,6,4,0,1,0,Parent,44.0,Female,White,Married_spouse_present,No_not_in_school,Grade_5-8,Not_enrolled,23.0,18.0,16000.0,16000.0,0,0.0,256.0,Same_house,0,P
Owned_or_being_bought_(loan),85000.0,0.0,31564.0,1,1,1,1,0,0,0,0,1,1,3,1,0,1,0,Spouse,55.0,Female,White,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,11.0,11.0,9600.0,9600.0,0,0.0,325.0,Same_house,0,P
Rented,999999.0,675.0,32096.0,1,2,2,2,0,0,0,0,8,1,11,1,0,1,2,Sibling,28.0,Female,White,Married_spouse_present,No_not_in_school,Grade_5-8,Not_enrolled,0.0,0.0,0.0,0.0,0,0.0,128.0,Moved_place_not_reported,0,P
Rented,999999.0,725.0,30800.0,1,1,1,1,0,0,0,0,1,1,5,3,0,1,0,Spouse,59.0,Female,White,Married_spouse_present,No_not_in_school,Grade_5-8,Not_enrolled,0.0,0.0,0.0,0.0,0,0.0,200.0,Same_house,0,P
Owned_or_being_bought_(loan),137500.0,0.0,13000.0,1,1,1,1,0,0,0,0,2,1,5,3,0,1,0,Head_Householder,36.0,Male,White,Married_spouse_present,No_not_in_school,1_to_3_years_of_college,Not_enrolled,10.0,19.0,19000.0,19000.0,0,0.0,88.0,Same_house,6,P
Rented,999999.0,512.0,172746.0,1,1,1,1,0,0,0,0,1,1,5,2,2,1,0,Spouse,28.0,Female,White,Married_spouse_present,No_not_in_school,Grade_9,Not_enrolled,13.0,10.0,168246.0,7000.0,0,0.0,501.0,Same_house,0,P
Rented,999999.0,312.0,8492.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,39.0,Male,White,Never_married_single,No_not_in_school,1_to_3_years_of_college,Not_enrolled,41.0,68.0,8492.0,4176.0,0,0.0,132.0,Same_house,5,P
Owned_or_being_bought_(loan),350000.0,0.0,115000.0,1,1,1,1,2,1,1,1,0,0,3,0,0,1,0,Child,19.0,Male,White,Never_married_single,Yes_in_school,1_to_3_years_of_college,Public_school,18.0,44.0,12000.0,12000.0,0,0.0,501.0,Same_house,0,P
Owned_or_being_bought_(loan),137500.0,0.0,19357.0,1,0,1,0,0,0,0,0,0,0,2,1,0,1,0,Head_Householder,40.0,Female,Black_Negro,Divorced,Yes_in_school,1_to_3_years_of_college,Public_school,22.0,61.0,19357.0,19000.0,0,0.0,226.0,Same_house,7,P
Owned_or_being_bought_(loan),350000.0,0.0,87980.0,1,1,1,1,2,1,1,1,0,0,5,0,0,1,2,Child,16.0,Male,Other_Asian_or_Pacific,Never_married_single,Yes_in_school,Grade_10,Private_school_(19601990),0.0,0.0,0.0,0.0,0,0.0,501.0,Same_house,0,P
Owned_or_being_bought_(loan),162500.0,0.0,28000.0,1,1,1,1,0,0,0,0,1,1,5,3,1,1,0,Spouse,31.0,Female,White,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,22.0,61.0,14000.0,14000.0,0,0.0,189.0,Same_house,0,P
Rented,999999.0,675.0,26530.0,1,1,1,1,0,0,0,0,2,1,3,1,0,1,0,Head_Householder,53.0,Male,White,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,23.0,18.0,9507.0,5191.0,0,0.0,274.0,Moved_place_not_reported,1,P
Owned_or_being_bought_(loan),225000.0,0.0,70920.0,1,1,1,1,0,0,0,0,1,1,4,2,0,1,0,Spouse,42.0,Female,White,Married_spouse_present,No_not_in_school,1_to_3_years_of_college,Not_enrolled,22.0,51.0,29120.0,29120.0,0,0.0,501.0,Same_house,0,P
Rented,999999.0,487.0,12461.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,46.0,Male,White,Divorced,Yes_in_school,4+_years_of_college,Public_school,31.0,65.0,12461.0,224.0,0,0.0,193.0,Moved_place_not_reported,1,P
Owned_or_being_bought_(loan),400000.0,0.0,48400.0,1,1,1,1,0,0,0,0,2,1,4,2,0,1,0,Head_Householder,40.0,Male,White,Married_spouse_present,No_not_in_school,1_to_3_years_of_college,Not_enrolled,32.0,62.0,47800.0,47800.0,0,0.0,385.0,Same_house,6,P
Rented,999999.0,675.0,11000.0,3,0,1,1,6,6,0,0,0,0,2,0,0,3,0,Other_non-relatives,13.0,Male,White,Never_married_single,Yes_in_school,Grade_5-8,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,1.0,Same_house,0,P
Rented,999999.0,512.0,26512.0,1,1,0,0,0,0,0,0,2,1,2,0,0,1,0,Head_Householder,28.0,Male,White,Married_spouse_present,No_not_in_school,4+_years_of_college,Not_enrolled,27.0,31.0,26512.0,26300.0,0,0.0,319.0,Moved_place_not_reported,2,P
Owned_or_being_bought_(loan),137500.0,0.0,20840.0,1,1,1,1,0,0,0,0,2,1,3,1,0,1,0,Head_Householder,51.0,Male,White,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,25.0,22.0,15840.0,15840.0,0,0.0,209.0,Same_house,6,P
Rented,999999.0,512.0,42000.0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,2,Sibling,32.0,Male,Other_Asian_or_Pacific,Never_married_single,No_not_in_school,Grade_12,Not_enrolled,16.0,15.0,12000.0,12000.0,0,0.0,433.0,Moved_place_not_reported,0,N
Owned_or_being_bought_(loan),162500.0,0.0,90929.0,1,0,1,0,1,1,0,0,0,0,4,0,0,1,2,Child,21.0,Male,White,Never_married_single,No_not_in_school,Grade_12,Not_enrolled,24.0,19.0,15000.0,15000.0,0,0.0,501.0,Same_house,0,P
