value,ci,ds_complete,technique,dsn
0.019077690190056,"(0.0, 0.0638345675927931)",ds4_TVAE_QI2_ep100_bs50.csv,TVAE,ds4
0.0,"(0.0, 0.0)",ds10_TVAE_QI1_ep100_bs50.csv,TVAE,ds10
0.0079172232267905,"(0.0, 0.04358535996872276)",ds4_CTGAN_QI0_ep200_bs100.csv,CTGAN,ds4
0.0460186283640798,"(0.02772786259948939, 0.06430939412867037)",ds51_CTGAN_QI0_ep100_bs100.csv,CTGAN,ds51
0.0153893073825791,"(0.0, 0.07502751440655955)",ds10_TVAE_QI1_ep100_bs100.csv,TVAE,ds10
0.0007241545287157,"(0.0, 0.011326830710638459)",ds38_CTGAN_QI1_ep200_bs50.csv,CTGAN,ds38
0.0,"(0.0, 0.0032690502061361484)",ds8_CopulaGAN_QI1_ep100_bs50.csv,Copula GAN,ds8
0.008001691463468,"(0.0, 0.04657032235934895)",ds14_CTGAN_QI0_ep200_bs100.csv,CTGAN,ds14
0.0,"(0.0, 0.0)",ds51_CTGAN_QI1_ep100_bs50.csv,CTGAN,ds51
0.0,"(0.0, 0.0032690502061361484)",ds8_CTGAN_QI1_ep100_bs50.csv,CTGAN,ds8
0.0,"(0.0, 0.043162420970810605)",ds2_TVAE_QI0_ep100_bs100.csv,TVAE,ds2
0.0018366141365865,"(0.0, 0.008155949834122673)",ds68_TVAE_QI1_ep200_bs50.csv,TVAE,ds68
0.0,"(0.0, 0.0045429459929252755)",ds56_CTGAN_QI2_ep200_bs100.csv,CTGAN,ds56
0.0040778014778059,"(0.0, 0.01772921638733618)",ds37_TVAE_QI1_ep100_bs100.csv,TVAE,ds37
0.0,"(0.0, 0.01612777293053808)",ds33_CTGAN_QI2_ep100_bs100.csv,CTGAN,ds33
0.0004593644529586,"(0.0, 0.006722779113307967)",ds68_TVAE_QI1_ep200_bs100.csv,TVAE,ds68
0.0182329305603036,"(0.0, 0.051275523634434224)",ds4_CopulaGAN_QI2_ep100_bs100.csv,Copula GAN,ds4
0.0053786363853645,"(0.0, 0.07602423608599929)",ds2_CTGAN_QI1_ep100_bs50.csv,CTGAN,ds2
0.0115865578118524,"(0.0, 0.07192166800044436)",ds10_CopulaGAN_QI0_ep100_bs50.csv,Copula GAN,ds10
0.000460210069546,"(0.0, 0.0072225846926560824)",ds68_CopulaGAN_QI0_ep200_bs100.csv,Copula GAN,ds68
0.0234447596872057,"(0.0, 0.0872087924645986)",ds10_TVAE_QI0_ep200_bs50.csv,TVAE,ds10
0.0367039209666458,"(0.0, 0.08833176105965057)",ds24_CTGAN_QI1_ep100_bs100.csv,CTGAN,ds24
0.0009208439207369,"(0.0, 0.007858374791210166)",ds68_CopulaGAN_QI1_ep100_bs50.csv,Copula GAN,ds68
0.016397704444919,"(0.0, 0.0477013178690899)",ds5_TVAE_QI1_ep200_bs50.csv,TVAE,ds5
0.0009302668571173,"(0.0, 0.007938298205885302)",ds51_TVAE_QI1_ep200_bs100.csv,TVAE,ds51
0.0010342109436518,"(0.0, 0.018033122096283147)",ds37_CTGAN_QI0_ep200_bs100.csv,CTGAN,ds37
0.0182329305603036,"(0.0, 0.051275523634434224)",ds14_CTGAN_QI1_ep200_bs50.csv,CTGAN,ds14
0.0,"(0.0, 0.06151587349258933)",ds59_CTGAN_QI0_ep200_bs50.csv,CTGAN,ds59
